,PI_0.005_0.995,PI_0.01_0.99,PI_0.015_0.985,PI_0.02_0.98,PI_0.025_0.975,PI_0.03_0.97,PI_0.035_0.965,PI_0.04_0.96,PI_0.045_0.955,PI_0.05_0.95
Hour 1,21.454488129624213,19.00395355963293,17.612024520819364,16.57758263853505,16.086451943335906,15.55963932972229,15.095520212471913,14.831615248688482,14.5202407289801,14.211325742955344
Hour 2,22.506152822943022,19.799758476634715,18.18375891124476,17.002960143384215,16.109054903122274,15.340561816978479,15.341471630130577,15.202568011351683,15.100988953530383,14.981136172959863
Hour 3,20.31930460764946,17.93108282392187,17.26953257975536,17.340636409750584,17.10126813393444,17.231352406527407,16.95163801314772,16.68113008002963,16.30286580778753,15.858932544672745
Hour 4,21.26324811381697,18.76708653531464,17.245503862036237,16.479210233422727,16.135063193261995,15.765783121215039,15.982919096200602,15.77792139264875,15.624354918318392,15.525094655634245
Hour 5,21.386946571008767,18.951405284809756,17.803382372142263,17.87282627760426,17.656977761376467,17.474444416464724,17.126109918080235,16.980656565127767,16.75788295819219,16.51005619620703
Hour 6,23.12346393591482,20.451935728834453,18.806051070742615,17.63167917182478,16.730878084653114,15.96912370168496,15.39146537137617,15.066640782975709,14.836469101901628,14.661067834064879
Hour 7,22.51141478686339,20.29947114837432,18.851122882880055,17.789827104805944,16.957509877662726,16.252476185346808,15.609690500535377,15.136447279848994,15.009904079046192,14.884081950183885
Hour 8,24.29722364033849,21.28412140865341,21.03163124682885,20.224462624311112,19.515525822415654,18.789590210177938,18.35954858807144,17.923712646066015,17.488547571204634,17.0665358165699
Hour 9,25.33170125145402,22.042192437268746,20.094864755431143,18.751776407064984,17.69265169008406,17.09835767281662,16.80795217743232,16.595676262504472,16.276335759132706,15.972571866919735
Hour 10,20.24157448339728,18.71316579361826,18.23871484344361,17.628466777227032,17.14290443248684,16.79784393813035,16.402933688527725,16.036908240415524,15.648950588890145,15.21042004644072
Hour 11,19.27405764000262,17.239455281944732,16.02994254683816,15.120183169393488,14.396073919485776,13.758254085857773,13.29917276649179,13.278507608125171,13.230485103499213,13.290204124489492
Hour 12,22.805744379585658,20.046000399979878,18.677008898834934,18.28636723559204,18.02641213380685,17.55969406749459,17.05403775973122,16.564293025614482,16.04559670375825,15.561211270714564
Hour 13,19.970238753854648,17.805207760534454,16.508614531364167,15.799434472172715,15.618089357633767,15.245212240547984,14.802028015069984,14.751732646457006,14.607173588968726,14.59000883363086
Hour 14,20.56123597786831,18.3152799389577,18.12332499237615,17.790461498060207,17.17360712334383,16.697259518359687,16.09783050988081,15.513750519391298,15.007778983128397,14.743282791333824
Hour 15,23.333708526929094,20.734915262200733,19.115240815633907,17.989103899015927,17.056971047777097,16.29544694204514,15.631203931838463,15.31780769757866,15.037958915229419,14.786112692423846
Hour 16,23.552941089155837,21.104432486006143,19.58522298297406,19.089407222943553,18.69722899494378,18.099591415914812,17.5827857515784,17.117889227785245,16.649462460440375,16.174639785841066
Hour 17,23.75744190643967,21.085879258092103,19.50224829504517,18.35847061702677,17.430464552983196,16.649728696647013,16.001055856508504,15.403098064473264,14.883865892578873,14.394084707709965
Hour 18,23.206741244037588,20.7076998576002,19.150420030909874,18.008701794569614,17.117835323668817,16.379010544549093,15.72292335088824,15.166466038087961,14.665133631451267,14.198666747147378
Hour 19,25.450647666976288,22.342056449256425,20.443306119202266,19.13199529789399,18.087487806483438,17.258788527222215,16.527404258547485,16.011089659372697,15.619438240504849,15.23206879269448
Hour 20,23.423142781356027,20.870604489801686,19.31918265241082,18.198974122226453,17.289373499321133,16.55834903923304,15.892962804142051,15.30958685491698,14.794865695764171,14.315277734369632
Hour 21,22.594668695146428,20.08508455990298,18.635191011367617,17.53219711690378,16.660296587938763,15.93606430109922,15.30420705568617,14.744202472635399,14.263578069311327,13.808106841427685
Hour 22,19.885214142125072,17.633097428262474,16.30601715815493,15.306695663094617,14.550592889373181,13.917128141889693,13.361670518605546,12.86297272137818,12.434794366804459,12.035806551409516
Hour 23,19.17720740186791,17.084864307778467,15.815270923164825,14.860841356452042,14.112943548598103,13.483440861981736,12.93198384762516,12.46058066788409,12.208037511143155,11.999564088939348
Hour 24,23.323085505363398,20.676584246084186,19.134008020609382,17.974168499953024,17.063359487922813,16.561159615580728,16.511656602167502,16.549938738674232,16.612690611103964,16.597926371338843
